target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,beginner,,293500,0,0,1,1.5377240143,41.556890486,3.2390822666,0,0,11.36784939,568
0,OTHER,advanced,Corporate,26806,0,1,,,28.407410734,0.6150610076,,,4.5003069092,569
0,OTHER,advanced,Corporate,25930,0,1,,,31.68579235,1.7080544951,,,9.8779175088,571
0,OTHER,elementary,,30000,0,0,0,0.8618055556,41.037922,0.5365521371,0,0,5.5749083015,576
0,2NDFL,elementary,,39807,0,0,,,37.756725803,8.4344262295,,,6.4580956658,584
0,OTHER,beginner,,150000,0,0,1,0.8543458781,36.323287671,4.7744965941,0,0,11.61369863,586
0,OTHER,elementary,Corporate,75433,0,1,1,0.4773521505,28.06557377,0.5,0,0,1.2450407965,593
0,2NDFL,elementary,,129765,0,0,0,16.638799283,28.505464481,9.3293285426,0,0,5.1156299124,602
0,OTHER,elementary,Corporate,185331,0,1,,,45.742465753,4.8180028445,,,0.6759263418,608
0,OTHER,elementary,Corporate,119970,0,1,,,37.736986301,0.7551613145,,,2.5095890411,611
0,OTHER,advanced,,82000,0,0,1,0.7552419355,47.564383562,3.498630137,1,1,2.5479452055,613
0,OTHER,elementary,,28000,0,0,2,0.3726030466,46.237555206,3.543715847,0,0,1.1498839734,617
0,OTHER,elementary,,60000,0,0,0,43.273364695,29.845220451,1.2479601767,0,0,9.0096040123,621
0,OTHER,elementary,,80304,0,1,0,8.5988799283,31.101369863,0.5671232877,1,1,10.142465753,628
0,OTHER,elementary,,80304,0,1,0,8.5988799283,31.101369863,0.5671232877,1,1,10.142465753,629
0,2NDFL,elementary,,41217,0,0,1,0.4991263441,39.145205479,7.002739726,1,1,9.165528857,633
0,2NDFL,advanced,,20030,0,0,,,33.244239838,10.643835616,,,9.8383561644,638
0,2NDFL,elementary,,,0,1,2,0.5009184588,27.114424732,1.5116850064,0,0,3.9590163934,651
0,OTHER,high,Corporate,54138,0,1,0,10.606003584,26.780582379,0.5038700502,1,1,6.4655138858,655
0,2NDFL,advanced,,19245,0,0,,,39.791780822,5.8109589041,,,11.120547945,658
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,663
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,664
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,672
0,2NDFL,beginner,Corporate,34473,0,1,0,,32.596257205,3.2811887117,,,9.1551613145,677
0,OTHER,elementary,Corporate,98369,0,1,1,1.0526433692,33.346597799,1.1356388951,1,1,5.527419717,679
0,OTHER,advanced,,40000,0,0,0,3.4339829749,29.917164458,1.5226439105,0,0,7.4945355191,690
0,OTHER,elementary,,80040,0,0,,,48.396481773,1.0276293136,,,3.3616438356,691
0,OTHER,elementary,VIP,900000,0,0,0,0.8261648746,35.509589041,0.9215210719,0,0,10.695890411,692
0,OTHER,high,Corporate,34902,0,1,0,1.667047491,33.674698705,0.5546448087,1,1,9.8500411707,700
0,OTHER,advanced,Corporate,15994,0,1,,,46.122284602,6.8592709035,,,1.0537914515,701
0,OTHER,elementary,Corporate,44062,0,1,0,0.5705421147,39.011685006,0.877438431,1,1,10.910315143,704
0,OTHER,elementary,Corporate,37727,0,1,0,81.373297491,37.17380792,4.5,0,0,11.302575043,707
0,OTHER,elementary,Corporate,86493,0,1,,,43.745205479,4.1643835616,,,13.698630137,717
0,OTHER,advanced,Corporate,51372,0,1,1,1.0856854839,50.348027547,2.5589864511,0,0,5.3151508346,721
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,722
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,723
0,OTHER,advanced,Corporate,30335,0,1,,,32.150273224,0.7356314095,,,2.2452204506,724
0,OTHER,elementary,Corporate,73267,0,1,1,0.9224462366,30.879452055,8.3780821918,1,1,9.2719664646,733
0,OTHER,elementary,,45000,0,0,1,0.6987903226,27.542465753,1.8301369863,0,0,7.4356164384,736
0,2NDFL,advanced,,23222,0,0,0,3.3422939068,30.362033086,3.4442248671,0,1,8.3579234973,737
0,OTHER,advanced,,30000,0,0,0,7.6601702509,39.737704918,1.5926641216,0,0,10.458417546,740
0,OTHER,elementary,Corporate,63687,0,1,,,26.509589041,3.4849315068,,,6.2602739726,741
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,745
0,OTHER,elementary,,150000,0,0,0,51.574283154,32.382513661,1.6589265664,0,0,10.026049854,750
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,757
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,759
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,760
0,OTHER,elementary,Corporate,33452,0,1,,,29.036103002,0.5224417995,,,7.9452054795,767
0,2NDFL,advanced,,30145,0,0,0,2.8276657706,40.06557377,2.8408563515,0,0,6.3668837488,768
0,OTHER,advanced,Corporate,25702,0,1,0,78.795654122,47.668493151,9.5730518751,1,1,2.6054794521,774
0,OTHER,high,Corporate,36348,0,1,,,31.736986301,0.3260273973,,,5.8465753425,775
0,2NDFL,elementary,,118365,0,0,0,,38.739726027,13.493150685,1,1,11.473972603,793
0,2NDFL,elementary,,23619,0,0,,,27.781420765,0.7410958904,,,4.8753424658,794
0,OTHER,elementary,,400000,0,0,1,0.4678091398,41.41490381,1.3053147691,0,0,8.60120518,799
0,2NDFL,high,,39802,0,0,0,0.7975358423,29.277273748,0.3797814208,0,0,8.7896174863,819
0,2NDFL,elementary,,,0,1,1,0.9226030466,29.424859645,0.586061831,1,1,0.7090126506,827
0,OTHER,advanced,Corporate,23334,0,1,0,0.3132392473,25.195576016,1.8630136986,1,1,4.1287671233,830
0,2NDFL,advanced,,9616,0,0,,,36.549524665,0.5906205554,,,10.324867131,839
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,840
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,841
0,OTHER,elementary,,25000,0,0,,,30.2,1.1993113257,,,4.1205479452,848
0,OTHER,advanced,,40000,0,0,0,10.473633513,34.537375552,10.323676922,0,0,1.7949097986,851
0,2NDFL,elementary,,103318,0,0,0,56.7015681,39.764383562,3.8739726027,1,1,11.610958904,859
